コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
1820,2020/03,39.6,391621000000,25313000000,105,30.68,0.0,2.0
1821,2020/03,27.1,472402000000,24765000000,24,24.78,4.0,4.0
1822,2020/03,42.1,162811000000,8511000000,100,19.21,0.0,9.0
1824,2020/03,24.8,487856000000,34045000000,20,26.29,5.0,9.0
1826,2020/03,49.2,36494000000,1538000000,18,17.9,0.0,0.0
1827,2020/03,42.1,116977000000,4104000000,14,16.41,5.0,7.0
1828,2020/03,53.3,37708621000,2623267000,30,15.36,1.0,8.0
1833,2020/03,53.1,226371000000,11516000000,143,76.49,0.0,0.0
1835,2020/03,60.7,146034583000,14858234000,93,28.43,9.0,9.0
1840,2020/10,58.9,28739621000,-501203000,1,-,1.0,3.0
1841,2020/03,77.3,9000000000,562051000,25,23.6,1.0,9.0
1844,2020/07,44.7,5187425000,540069000,7,21.99,0.0,2.0
1847,2020/03,41.5,86513000000,4381000000,90,19.86,0.0,9.0
1848,2020/03,34,27979000000,935000000,9,27.51,3.0,9.0
1850,2020/03,31.3,40155000000,2263000000,-,-,0.0,0.0
1852,2020/03,38,141472000000,6601000000,216,28.67,0.0,0.0
1853,2020/03,51.6,26695000000,1368000000,14,56.18,2.0,9.0
1860,2020/03,42.7,518683000000,35243000000,26,23.76,0.0,6.0
1861,2020/03,39.5,436151000000,25440000000,120,24.04,5.0,9.0
1866,2020/03,59.3,61951868000,3043988000,100,29.23,0.0,3.0
1867,2020/03,44.7,51938659000,2360865000,90,18.46,0.0,9.0
1870,2020/03,48.6,90129000000,7764000000,34,26.91,2.0,7.0
1871,2020/03,41.6,105744000000,4881000000,20,47.17,6.0,9.0
1873,2020/10,55.3,38932000000,1620000000,5,57.9,0.0,1.0
1878,2020/03,32.6,1586293000000,127956000000,653,48.26,10.0,10.0
1879,2020/03,62.6,112542000000,14501000000,19,10.53,5.0,9.0
1881,2020/03,65.1,429066000000,36227000000,60,20.19,0.0,9.0
1882,2020/03,50.4,109123000000,4753000000,140,14.77,1.0,1.0
1883,2020/03,77.7,237812000000,19575000000,750,32.13,0.0,0.0
1884,2020/03,58.5,148699000000,7515000000,180,25.88,1.0,2.0
1885,2020/03,33.8,190278000000,7957000000,50,12.5,2.0,2.0
1887,2020/05,50.8,118529000000,10367000000,28,46.64,7.0,7.0
1888,2020/03,35.4,107830000000,5039000000,60,24.03,3.0,9.0
1890,2020/03,41.3,174805000000,9268000000,15,19.61,0.0,0.0
1893,2020/03,32.9,573842000000,33161000000,24,23.25,6.0,10.0
1897,2020/12,84.4,10960000000,649000000,50,27.24,0.0,6.0
1898,2020/03,49.1,78631000000,5961000000,47,16.66,2.0,2.0
1899,2020/12,51.4,185764000000,8905000000,110,16.39,0.0,9.0
1904,2020/03,52.3,58074100000,1879173000,70,30.96,1.0,6.0
1905,2020/03,63.5,18583097000,1139231000,33,27.82,1.0,8.0
1909,2020/03,33.1,39846863000,2974829000,30,13.41,0.0,2.0
1911,2020/12,33.7,839881000000,47462000000,35,18.01,0.0,9.0
1914,2020/03,75.3,24124000000,1032317000,10,42.45,0.0,9.0
1921,2020/03,71.4,31683000000,2622048000,10,20.03,1.0,9.0
1925,2020/03,37.3,4380209000000,381114000000,115,33.82,9.0,9.0
1926,2020/03,67.4,106210000000,9874000000,41,27.94,6.0,9.0
1928,2021/01,50.5,2446904000000,186519000000,84,46.35,8.0,8.0
